 year,         CAI,         LAI,         GPP,       Rauto,          Rh,        rain,   SiolWater,      Transp,        Evap,      Runoff,      plantC,       soilC,      plantN,       soilN,        totN,         NSC,       SeedC,       leafC,       rootC,    SapwoodC,       WoodC,         NSN,       SeedN,       leafN,       rootN,    SapwoodN,       WoodN,       McrbC,     fastSOM,     SlowSOM,       McrbN,   fastSoilN,   slowSoilN,    mineralN,      N_fxed,      N_uptk,     N_yrMin,       N_P2S,      N_loss,       seedC,       seedN,  Seedling-C,  Seedling-N,
    1,   0.0597,   0.1838,   0.1017,   0.0643,   0.1906, 716.6377, 799.7640,  33.7076, 115.6263, 567.5453,   0.1288,   6.4905,  11.5480, 168.4079, 179.9559,   0.0323,   0.0000,   0.0257,   0.0241,   0.0290,   0.0176,  10.3430,   0.0000,   0.4687,   0.6032,   0.0829,   0.0502,    0.011,    0.123,    6.356,    1.098,    7.988,  158.909,    0.4126,    0.0000,    7.3395,    5.2520,    0.7368,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    2,   0.0646,   0.1923,   0.0987,   0.0389,   0.1786,1101.7085, 799.9625,  23.1673,  93.5100, 984.8453,   0.1517,   6.3488,  15.5514, 164.3983, 179.9497,   0.0466,   0.0000,   0.0269,   0.0244,   0.0335,   0.0203,  14.2978,   0.0000,   0.4904,   0.6095,   0.0957,   0.0580,    0.015,    0.109,    6.224,    1.546,    6.854,  155.606,    0.3924,    0.0000,    5.0481,    5.0279,    0.8137,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    3,   0.0706,   0.2061,   0.1089,   0.0419,   0.1692,1226.4808, 799.8130,  29.1330, 111.3579,1086.1510,   0.1804,   6.2177,  19.2108, 160.7290, 179.9398,   0.0631,   0.0000,   0.0289,   0.0253,   0.0393,   0.0238,  17.8713,   0.0000,   0.5256,   0.6333,   0.1124,   0.0681,    0.017,    0.101,    6.099,    1.720,    6.156,  152.479,    0.3740,    0.0000,    4.8025,    4.7840,    0.8320,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    4,   0.0774,   0.2251,   0.1231,   0.0468,   0.1676,1326.1034, 798.4667,  25.6243,  95.3152,1206.5227,   0.2162,   6.0908,  22.6789, 157.2608, 179.9397,   0.0828,   0.0000,   0.0315,   0.0270,   0.0467,   0.0283,  21.2166,   0.0000,   0.5740,   0.6741,   0.1334,   0.0808,    0.018,    0.097,    5.976,    1.780,    5.726,  149.406,    0.3489,    0.0000,    4.7254,    4.7004,    0.8732,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    5,   0.0852,   0.2470,   0.1299,   0.0514,   0.1658,1077.3901, 799.2376,  30.9603,  91.2659, 954.4041,   0.2506,   5.9693,  25.9089, 154.0323, 179.9412,   0.0980,   0.0000,   0.0346,   0.0284,   0.0558,   0.0338,  24.3126,   0.0002,   0.6299,   0.7103,   0.1594,   0.0966,    0.018,    0.096,    5.856,    1.790,    5.519,  146.393,    0.3303,    0.0000,    4.6243,    4.6057,    0.9406,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    6,   0.0925,   0.2677,   0.1409,   0.0554,   0.1581,1469.5847, 799.7333,  31.4749,  91.0956,1346.5294,   0.2889,   5.8584,  28.7634, 151.1833, 179.9467,   0.1146,   0.0019,   0.0375,   0.0299,   0.0653,   0.0396,  26.9370,   0.0954,   0.6827,   0.7484,   0.1867,   0.1132,    0.018,    0.098,    5.743,    1.787,    5.520,  143.574,    0.3034,    0.0000,    4.3689,    4.3420,    0.9962,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    7,   0.1003,   0.2898,   0.1512,   0.0591,   0.1532, 932.6990, 799.9383,  41.0238, 105.9461, 785.5333,   0.3306,   5.7558,  31.3106, 148.6382, 179.9487,   0.1318,   0.0041,   0.0406,   0.0315,   0.0764,   0.0463,  29.2315,   0.2035,   0.7390,   0.7863,   0.2182,   0.1322,    0.018,    0.101,    5.636,    1.785,    5.657,  140.912,    0.2853,    0.0000,    4.1736,    4.1555,    1.0512,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    8,   0.1100,   0.3194,   0.1773,   0.0692,   0.1713, 954.8821, 799.9571,  43.4460, 100.1408, 811.2839,   0.3840,   5.6391,  34.2297, 145.7168, 179.9465,   0.1574,   0.0044,   0.0447,   0.0337,   0.0895,   0.0543,  31.9426,   0.2190,   0.8145,   0.8429,   0.2557,   0.1550,    0.018,    0.103,    5.519,    1.779,    5.714,  137.963,    0.2603,    0.0000,    4.6738,    4.6488,    1.1285,    0.0000,    2.2047,    0.1102,    2.2047,    0.1102,
    9,   0.1209,   0.3532,   0.1994,   0.0783,   0.1770,1027.1952, 798.0586,  55.6443, 105.7230, 867.7323,   0.4455,   5.5216,  37.1340, 142.8060, 179.9400,   0.1856,   0.0055,   0.0494,   0.0362,   0.1051,   0.0637,  34.5695,   0.2771,   0.9007,   0.9046,   0.3002,   0.1820,    0.018,    0.105,    5.399,    1.772,    5.813,  134.977,    0.2441,    0.0000,    4.8096,    4.7934,    1.2207,    0.0000,    1.8037,    0.0902,    1.8037,    0.0902,
   10,   0.1331,   0.3899,   0.2040,   0.0819,   0.1531,1082.7830, 799.9452,  46.4866,  92.8682, 941.5482,   0.5023,   5.4336,  39.1659, 140.7700, 179.9359,   0.2056,   0.0065,   0.0546,   0.0384,   0.1227,   0.0744,  36.3229,   0.3262,   0.9943,   0.9592,   0.3507,   0.2126,    0.018,    0.115,    5.301,    1.779,    6.230,  132.529,    0.2323,    0.0000,    4.0976,    4.0859,    1.3231,    0.0000,    2.3536,    0.1177,    2.3536,    0.1177,
