 year,         CAI,         LAI,         GPP,       Rauto,          Rh,        rain,   SiolWater,      Transp,        Evap,      Runoff,      plantC,       soilC,      plantN,       soilN,        totN,         NSC,       SeedC,       leafC,       rootC,    SapwoodC,       WoodC,         NSN,       SeedN,       leafN,       rootN,    SapwoodN,       WoodN,       McrbC,     fastSOM,     SlowSOM,       McrbN,   fastSoilN,   slowSoilN,    mineralN,      N_fxed,      N_uptk,     N_yrMin,       N_P2S,      N_loss,       seedC,       seedN,  Seedling-C,  Seedling-N,
    1,   0.0590,   0.1741,   0.0791,   0.0612,   0.4634, 716.6377, 799.7633,  38.9881, 115.5063, 562.3851,   0.1104,  18.7169,  16.9220, 475.5457, 492.4677,   0.0183,   0.0000,   0.0244,   0.0221,   0.0284,   0.0172,  15.7956,   0.0000,   0.4440,   0.5522,   0.0811,   0.0491,    0.024,    0.122,   18.571,    2.367,    7.953,  464.274,    0.9528,    0.0000,   12.6881,   11.1409,    0.7114,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    2,   0.0621,   0.1687,   0.0729,   0.0320,   0.4391,1101.7085, 799.9624,  25.2010,  93.4972, 982.8205,   0.1191,  18.3102,  27.0160, 465.4401, 492.4560,   0.0250,   0.0000,   0.0236,   0.0202,   0.0313,   0.0190,  25.9371,   0.0000,   0.4303,   0.5048,   0.0895,   0.0542,    0.034,    0.105,   18.171,    3.377,    6.742,  454.284,    1.0369,    0.0000,   11.1421,   11.2261,    0.7097,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    3,   0.0655,   0.1687,   0.0749,   0.0319,   0.4183,1226.4808, 799.8140,  29.5140, 111.3839,1085.7418,   0.1316,  17.9227,  36.8699, 455.5859, 492.4558,   0.0329,   0.0000,   0.0236,   0.0193,   0.0347,   0.0211,  35.7973,   0.0000,   0.4302,   0.4830,   0.0993,   0.0601,    0.038,    0.093,   17.792,    3.790,    5.899,  444.794,    1.1030,    0.0000,   11.0594,   11.1255,    0.6652,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    4,   0.0694,   0.1742,   0.0808,   0.0337,   0.4140,1326.1034, 798.4611,  24.8989,  95.3480,1207.2203,   0.1486,  17.5384,  46.7358, 445.7083, 492.4441,   0.0427,   0.0000,   0.0244,   0.0192,   0.0388,   0.0235,  45.6325,   0.0000,   0.4442,   0.4812,   0.1108,   0.0671,    0.039,    0.084,   17.415,    3.933,    5.270,  435.383,    1.1217,    0.0000,   11.2537,   11.2724,    0.6505,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    5,   0.0735,   0.1816,   0.0800,   0.0348,   0.4075,1077.3901, 799.2433,  27.8080,  91.3787, 957.4319,   0.1628,  17.1613,  56.4622, 435.9789, 492.4412,   0.0487,   0.0000,   0.0254,   0.0189,   0.0434,   0.0263,  55.3271,   0.0001,   0.4630,   0.4728,   0.1241,   0.0752,    0.039,    0.078,   17.044,    3.945,    4.817,  426.105,    1.1124,    0.0000,   11.3212,   11.3119,    0.6599,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    6,   0.0773,   0.1888,   0.0840,   0.0357,   0.3850,1469.5847, 799.7347,  27.4238,  91.1957,1350.4866,   0.1797,  16.8070,  65.5511, 426.8806, 492.4317,   0.0562,   0.0010,   0.0264,   0.0190,   0.0480,   0.0291,  64.3250,   0.0490,   0.4816,   0.4751,   0.1372,   0.0832,    0.039,    0.074,   16.694,    3.902,    4.552,  417.348,    1.0779,    0.0000,   10.8767,   10.8422,    0.6586,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    7,   0.0812,   0.1969,   0.0859,   0.0365,   0.3679, 932.6990, 799.9391,  34.1223, 106.1227, 792.2589,   0.1971,  16.4699,  74.1459, 418.2990, 492.4448,   0.0632,   0.0020,   0.0276,   0.0190,   0.0532,   0.0322,  72.8229,   0.1023,   0.5020,   0.4748,   0.1519,   0.0920,    0.038,    0.072,   16.359,    3.841,    4.413,  408.978,    1.0667,    0.0000,   10.5706,   10.5593,    0.6648,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    8,   0.0853,   0.2069,   0.0960,   0.0409,   0.4061, 954.8821, 799.9577,  34.3411, 100.3892, 820.1437,   0.2193,  16.0954,  83.7456, 408.6952, 492.4408,   0.0729,   0.0032,   0.0290,   0.0194,   0.0590,   0.0358,  82.2991,   0.1620,   0.5276,   0.4862,   0.1686,   0.1022,    0.038,    0.069,   15.989,    3.759,    4.207,  399.725,    1.0036,    0.0000,   11.7608,   11.6978,    0.6783,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    9,   0.0904,   0.2211,   0.1033,   0.0446,   0.4139,1027.1952, 798.0945,  41.9422, 106.0810, 881.0442,   0.2434,  15.7156,  93.4720, 398.9619, 492.4339,   0.0835,   0.0034,   0.0310,   0.0200,   0.0657,   0.0398,  91.9381,   0.1686,   0.5638,   0.4998,   0.1879,   0.1138,    0.037,    0.066,   15.613,    3.670,    4.018,  390.319,    0.9555,    0.0000,   12.1045,   12.0565,    0.7033,    0.0000,    1.2039,    0.0602,    1.2039,    0.0602,
   10,   0.0957,   0.2355,   0.1028,   0.0446,   0.3510,1082.7830, 799.9462,  34.2710,  93.0404, 953.6277,   0.2653,  15.4005, 101.4200, 391.0079, 492.4279,   0.0907,   0.0038,   0.0330,   0.0204,   0.0732,   0.0443,  99.7829,   0.1917,   0.6005,   0.5092,   0.2090,   0.1267,    0.036,    0.068,   15.296,    3.599,    4.078,  382.402,    0.9286,    0.0000,   10.5479,   10.5209,    0.7306,    0.0000,    1.0087,    0.0504,    1.0087,    0.0504,
