 year,         CAI,         LAI,         GPP,       Rauto,          Rh,        rain,   SiolWater,      Transp,        Evap,      Runoff,      plantC,       soilC,      plantN,       soilN,        totN,         NSC,       SeedC,       leafC,       rootC,    SapwoodC,       WoodC,         NSN,       SeedN,       leafN,       rootN,    SapwoodN,       WoodN,       McrbC,     fastSOM,     SlowSOM,       McrbN,   fastSoilN,   slowSoilN,    mineralN,      N_fxed,      N_uptk,     N_yrMin,       N_P2S,      N_loss,       seedC,       seedN,  Seedling-C,  Seedling-N,
    1,   0.0609,   0.1893,   0.1035,   0.0707,   0.2459, 716.6377, 799.7640,  34.3053, 115.6170, 566.9575,   0.1267,   8.9400,  13.0097, 229.8970, 242.9067,   0.0232,   0.0000,   0.0265,   0.0289,   0.0299,   0.0181,  11.6666,   0.0000,   0.4827,   0.7231,   0.0855,   0.0518,    0.014,    0.127,    8.799,    1.358,    8.115,  219.986,    0.4374,    0.0000,    8.4626,    6.4000,    0.8522,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    2,   0.0655,   0.1991,   0.1018,   0.0436,   0.2330,1101.7085, 799.9625,  23.9249,  93.4977, 984.0997,   0.1416,   8.7503,  18.0535, 224.8496, 242.9032,   0.0287,   0.0000,   0.0279,   0.0301,   0.0342,   0.0207,  16.6374,   0.0000,   0.5077,   0.7514,   0.0978,   0.0592,    0.019,    0.117,    8.614,    1.937,    7.149,  215.348,    0.4154,    0.0000,    6.2801,    6.2581,    0.9761,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    3,   0.0698,   0.2096,   0.1113,   0.0453,   0.2228,1226.4808, 799.8129,  29.8362, 111.3440,1085.4602,   0.1624,   8.5724,  22.7512, 220.1486, 242.8998,   0.0394,   0.0000,   0.0293,   0.0316,   0.0387,   0.0234,  21.2499,   0.0000,   0.5344,   0.7896,   0.1104,   0.0669,    0.022,    0.112,    8.438,    2.181,    6.621,  210.954,    0.3930,    0.0000,    6.0694,    6.0470,    1.0107,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    4,   0.0744,   0.2226,   0.1227,   0.0489,   0.2221,1326.1034, 798.4679,  25.5686,  95.3140,1206.5791,   0.1884,   8.3975,  27.2913, 215.6061, 242.8974,   0.0537,   0.0000,   0.0312,   0.0336,   0.0435,   0.0264,  25.6829,   0.0000,   0.5676,   0.8411,   0.1243,   0.0753,    0.023,    0.111,    8.264,    2.281,    6.351,  206.604,    0.3700,    0.0000,    6.0579,    6.0349,    1.0628,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    5,   0.0792,   0.2366,   0.1258,   0.0520,   0.2206,1077.3901, 799.2388,  29.9968,  91.2862, 955.3466,   0.2108,   8.2279,  31.6042, 211.2857, 242.8898,   0.0636,   0.0000,   0.0331,   0.0354,   0.0490,   0.0297,  29.8906,   0.0001,   0.6032,   0.8856,   0.1399,   0.0848,    0.023,    0.112,    8.093,    2.313,    6.286,  202.330,    0.3559,    0.0000,    5.9972,    5.9831,    1.1385,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    6,   0.0835,   0.2488,   0.1321,   0.0542,   0.2109,1469.5847, 799.7337,  29.5412,  91.1261,1348.4329,   0.2343,   8.0709,  35.5092, 207.3845, 242.8938,   0.0741,   0.0011,   0.0348,   0.0372,   0.0542,   0.0329,  33.6412,   0.0558,   0.6343,   0.9291,   0.1549,   0.0939,    0.023,    0.115,    7.932,    2.322,    6.418,  198.312,    0.3323,    0.0000,    5.7339,    5.7102,    1.1967,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    7,   0.0880,   0.2615,   0.1376,   0.0562,   0.2042, 932.6990, 799.9385,  37.3005, 106.0241, 789.1772,   0.2586,   7.9235,  39.0919, 203.8095, 242.9014,   0.0845,   0.0023,   0.0366,   0.0389,   0.0599,   0.0363,  37.0625,   0.1153,   0.6670,   0.9723,   0.1712,   0.1037,    0.023,    0.120,    7.780,    2.326,    6.671,  194.493,    0.3190,    0.0000,    5.5439,    5.5305,    1.2510,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    8,   0.0928,   0.2769,   0.1552,   0.0633,   0.2281, 954.8821, 799.9573,  38.0072, 100.2593, 816.6057,   0.2900,   7.7559,  43.2320, 199.6724, 242.9044,   0.0997,   0.0036,   0.0388,   0.0412,   0.0664,   0.0402,  41.0086,   0.1815,   0.7061,   1.0312,   0.1897,   0.1150,    0.023,    0.122,    7.611,    2.322,    6.791,  190.268,    0.2917,    0.0000,    6.2435,    6.2162,    1.3215,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    9,   0.0980,   0.2941,   0.1677,   0.0689,   0.2350,1027.1952, 798.0775,  46.7354, 105.9357, 876.4127,   0.3243,   7.5855,  47.4226, 195.4804, 242.9030,   0.1158,   0.0051,   0.0412,   0.0437,   0.0737,   0.0447,  44.9864,   0.2552,   0.7501,   1.0925,   0.2107,   0.1277,    0.023,    0.124,    7.439,    2.308,    6.923,  185.970,    0.2796,    0.0000,    6.4597,    6.4476,    1.4045,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
   10,   0.1041,   0.3124,   0.1654,   0.0697,   0.2023,1082.7830, 799.9457,  37.6168,  92.9778, 950.3286,   0.3507,   7.4524,  50.5252, 192.3756, 242.9008,   0.1242,   0.0056,   0.0437,   0.0459,   0.0817,   0.0495,  47.9246,   0.2821,   0.7966,   1.1468,   0.2336,   0.1415,    0.023,    0.134,    7.296,    2.308,    7.410,  182.388,    0.2700,    0.0000,    5.5483,    5.5387,    1.4972,    0.0000,    1.0339,    0.0517,    1.0339,    0.0517,
