 year,         CAI,         LAI,         GPP,       Rauto,          Rh,        rain,   SiolWater,      Transp,        Evap,      Runoff,      plantC,       soilC,      plantN,       soilN,        totN,         NSC,       SeedC,       leafC,       rootC,    SapwoodC,       WoodC,         NSN,       SeedN,       leafN,       rootN,    SapwoodN,       WoodN,       McrbC,     fastSOM,     SlowSOM,       McrbN,   fastSoilN,   slowSoilN,    mineralN,      N_fxed,      N_uptk,     N_yrMin,       N_P2S,      N_loss,       seedC,       seedN,  Seedling-C,  Seedling-N,
    1,   0.0583,   0.1814,   0.0805,   0.0585,   0.4083, 716.6377, 799.7632,  39.7323, 115.4913, 561.6569,   0.1104,  16.2683,  15.4393, 414.0715, 429.5107,   0.0205,   0.0000,   0.0254,   0.0198,   0.0278,   0.0169,  14.3533,   0.0000,   0.4626,   0.4957,   0.0795,   0.0482,    0.021,    0.119,   16.128,    2.107,    7.803,  403.193,    0.9679,    0.0000,   11.5764,   10.0443,    0.6283,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    2,   0.0614,   0.1860,   0.0773,   0.0343,   0.3858,1101.7085, 799.9623,  26.9407,  93.4724, 981.1061,   0.1216,  15.9128,  24.4582, 405.0375, 429.4956,   0.0262,   0.0000,   0.0260,   0.0200,   0.0307,   0.0186,  23.3418,   0.0000,   0.4743,   0.5011,   0.0878,   0.0532,    0.030,    0.103,   15.780,    2.997,    6.583,  394.507,    0.9498,    0.0000,   10.0231,   10.0050,    0.6954,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    3,   0.0645,   0.1919,   0.0825,   0.0351,   0.3674,1226.4808, 799.8127,  32.8030, 111.3283,1082.5117,   0.1367,  15.5774,  33.1084, 396.3850, 429.4934,   0.0349,   0.0000,   0.0269,   0.0206,   0.0339,   0.0205,  31.9498,   0.0000,   0.4894,   0.5138,   0.0967,   0.0586,    0.034,    0.092,   15.452,    3.360,    5.800,  386.292,    0.9334,    0.0000,    9.8405,    9.8242,    0.7011,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    4,   0.0681,   0.2016,   0.0907,   0.0378,   0.3640,1326.1034, 798.4504,  28.3160,  95.3006,1203.8591,   0.1562,  15.2466,  41.6554, 387.8398, 429.4952,   0.0461,   0.0000,   0.0282,   0.0215,   0.0375,   0.0227,  40.4305,   0.0000,   0.5140,   0.5386,   0.1072,   0.0650,    0.035,    0.085,   15.127,    3.489,    5.292,  378.163,    0.8956,    0.0000,    9.9321,    9.8942,    0.7230,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    5,   0.0720,   0.2121,   0.0911,   0.0398,   0.3590,1077.3901, 799.2393,  32.0946,  91.2708, 953.2471,   0.1719,  14.9231,  49.9809, 379.5133, 429.4941,   0.0528,   0.0000,   0.0297,   0.0223,   0.0418,   0.0253,  48.6909,   0.0001,   0.5409,   0.5573,   0.1194,   0.0723,    0.035,    0.082,   14.806,    3.506,    4.987,  370.159,    0.8611,    0.0000,    9.9218,    9.8873,    0.7632,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    6,   0.0756,   0.2218,   0.0960,   0.0412,   0.3400,1469.5847, 799.7335,  31.8229,  91.1155,1346.1617,   0.1896,  14.6201,  57.7149, 371.7802, 429.4951,   0.0607,   0.0009,   0.0310,   0.0232,   0.0460,   0.0279,  56.3148,   0.0448,   0.5655,   0.5789,   0.1313,   0.0796,    0.035,    0.081,   14.504,    3.479,    4.885,  362.610,    0.8061,    0.0000,    9.5248,    9.4699,    0.7911,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    7,   0.0794,   0.2320,   0.0991,   0.0425,   0.3260, 932.6990, 799.9388,  39.7031, 105.9965, 786.8018,   0.2075,  14.3329,  64.9526, 364.5298, 429.4823,   0.0680,   0.0019,   0.0325,   0.0240,   0.0505,   0.0306,  63.4364,   0.0930,   0.5915,   0.5996,   0.1444,   0.0875,    0.034,    0.082,   14.217,    3.439,    4.912,  355.414,    0.7648,    0.0000,    9.2120,    9.1707,    0.8201,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    8,   0.0834,   0.2443,   0.1111,   0.0478,   0.3609, 954.8821, 799.9575,  40.0756, 100.2491, 814.5471,   0.2302,  14.0130,  73.0790, 356.4010, 429.4800,   0.0783,   0.0029,   0.0342,   0.0252,   0.0557,   0.0338,  71.4241,   0.1464,   0.6229,   0.6300,   0.1592,   0.0965,    0.034,    0.081,   13.898,    3.383,    4.851,  347.460,    0.7060,    0.0000,   10.2835,   10.2247,    0.8579,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    9,   0.0877,   0.2577,   0.1189,   0.0517,   0.3688,1027.1952, 798.0787,  48.5779, 105.9131, 874.5908,   0.2543,  13.6876,  81.3523, 348.1336, 429.4859,   0.0889,   0.0041,   0.0361,   0.0264,   0.0615,   0.0373,  79.5475,   0.2053,   0.6572,   0.6599,   0.1758,   0.1066,    0.033,    0.080,   13.574,    3.319,    4.788,  339.358,    0.6682,    0.0000,   10.6375,   10.5998,    0.9027,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
   10,   0.0926,   0.2724,   0.1177,   0.0518,   0.3139,1082.7830, 799.9460,  39.4155,  92.9684, 948.5386,   0.2745,  13.4200,  88.0233, 341.4647, 429.4880,   0.0954,   0.0044,   0.0381,   0.0275,   0.0679,   0.0412,  86.1122,   0.2178,   0.6947,   0.6869,   0.1940,   0.1176,    0.033,    0.085,   13.302,    3.272,    5.002,  332.553,    0.6372,    0.0000,    9.2510,    9.2201,    0.9530,    0.0000,    1.0167,    0.0508,    1.0167,    0.0508,
